Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pengetesan add member,Chrome 94.0.4606.61,,,2021-10-01 11:35:08,2021-10-01 11:59:20,24m - 11.531s,FAILED
,,,,,,,
Test Cases/TC_005_ADD Member 20 times using conditional,Chrome 94.0.4606.61,"if number is even ,name = Susan
if number is odd , name = Jaka
if number % 5 = 0 , point = number * 5
if  number % 3 = 0 , point = number * 3
if number % 4 = 0 , point = number * 4
else 
point = number",,2021-10-01 11:35:08,2021-10-01 11:53:04,17m - 55.756s,PASSED
"openBrowser(""http://116.254.100.222:81/login"")",Chrome 94.0.4606.61,,,2021-10-01 11:35:09,2021-10-01 11:35:12,3.665s,PASSED
"helper.helper.loginBrowser(""rocky@gmail.com"", ""Test1234"")",Chrome 94.0.4606.61,,,2021-10-01 11:35:12,2021-10-01 11:35:17,4.995s,PASSED
maxLoop = 20,Chrome 94.0.4606.61,,,2021-10-01 11:35:17,2021-10-01 11:35:17,0.000s,PASSED
"name = """"",Chrome 94.0.4606.61,,,2021-10-01 11:35:17,2021-10-01 11:35:17,0.001s,PASSED
point = 0,Chrome 94.0.4606.61,,,2021-10-01 11:35:17,2021-10-01 11:35:17,0.000s,PASSED
"for ([i = 1, i <= maxLoop, (i++)])",Chrome 94.0.4606.61,,,2021-10-01 11:35:17,2021-10-01 11:53:04,17m - 46.758s,PASSED
,,,,,,,
Test Cases/TC_006_Delete_Data,Chrome 94.0.4606.61,,,2021-10-01 11:53:04,2021-10-01 11:59:20,6m - 15.562s,FAILED
memberList = tmpData,Chrome 94.0.4606.61,,,2021-10-01 11:53:04,2021-10-01 11:53:04,0.001s,PASSED
for (def data : memberList),Chrome 94.0.4606.61,,,2021-10-01 11:53:04,2021-10-01 11:59:20,6m - 15.378s,FAILED
