Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario_indocyber,Chrome 93.0.4577.82,,,2021-09-29 13:41:33,2021-09-29 13:43:12,1m - 39.833s,ERROR
,,,,,,,
Test Cases/Login - Logout,Chrome 93.0.4577.82,Scenario Login Logout,#login,2021-09-29 13:41:33,2021-09-29 13:41:43,10.601s,PASSED
"openBrowser("""")",Chrome 93.0.4577.82,,,2021-09-29 13:41:33,2021-09-29 13:41:35,2.170s,PASSED
"navigateToUrl(""http://116.254.100.222:81/login"")",Chrome 93.0.4577.82,,,2021-09-29 13:41:35,2021-09-29 13:41:36,0.843s,PASSED
"setText(findTestObject(""loginpage/input-email""), email)",Chrome 93.0.4577.82,,,2021-09-29 13:41:36,2021-09-29 13:41:37,0.723s,PASSED
"setText(findTestObject(""loginpage/input_password""), password)",Chrome 93.0.4577.82,,,2021-09-29 13:41:37,2021-09-29 13:41:38,0.652s,PASSED
"click(findTestObject(""loginpage/btn-login""))",Chrome 93.0.4577.82,,,2021-09-29 13:41:38,2021-09-29 13:41:40,2.037s,PASSED
"click(findTestObject(""dashboard/btn-logout""))",Chrome 93.0.4577.82,,,2021-09-29 13:41:40,2021-09-29 13:41:41,0.942s,PASSED
closeBrowser(),Chrome 93.0.4577.82,,,2021-09-29 13:41:41,2021-09-29 13:41:41,0.663s,PASSED
Video,Chrome 93.0.4577.82,,,2021-09-29 13:41:43,2021-09-29 13:41:43,0.001s,PASSED
,,,,,,,
Test Cases/order-menu,Chrome 93.0.4577.82,,dashboard,2021-09-29 13:41:43,2021-09-29 13:42:00,16.291s,FAILED
"openBrowser(""http://116.254.100.222:81/login"")",Chrome 93.0.4577.82,,,2021-09-29 13:41:44,2021-09-29 13:41:46,1.974s,PASSED
"helper.helper.loginBrowser(""rocky@gmail.com"", ""rocky182"")",Chrome 93.0.4577.82,,,2021-09-29 13:41:46,2021-09-29 13:41:49,3.730s,PASSED
"click(findTestObject(""Object Repository/dashboard/transaction-menu""))",Chrome 93.0.4577.82,,,2021-09-29 13:41:49,2021-09-29 13:41:50,0.938s,PASSED
"scrollToElement(findTestObject(""Object Repository/orderPage/orderAction_btn""), 1)",Chrome 93.0.4577.82,,,2021-09-29 13:41:50,2021-09-29 13:41:51,0.455s,PASSED
"click(findTestObject(""Object Repository/orderPage/orderAction_btn""))",Chrome 93.0.4577.82,,,2021-09-29 13:41:51,2021-09-29 13:41:51,0.373s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/orderPage/modal-content""), 1)",Chrome 93.0.4577.82,,,2021-09-29 13:41:51,2021-09-29 13:41:52,0.655s,PASSED
"click(findTestObject(""Object Repository/orderPage/btn-nasi""))",Chrome 93.0.4577.82,,,2021-09-29 13:41:52,2021-09-29 13:41:52,0.340s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/orderPage/modal-cat-nasi""), 1)",Chrome 93.0.4577.82,,,2021-09-29 13:41:52,2021-09-29 13:41:53,0.749s,PASSED
"click(findTestObject(""Object Repository/orderPage/btn-nasi-goreng""))",Chrome 93.0.4577.82,,,2021-09-29 13:41:53,2021-09-29 13:41:53,0.351s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/orderPage/Modal-order""), 1)",Chrome 93.0.4577.82,,,2021-09-29 13:41:53,2021-09-29 13:41:54,0.743s,PASSED
"verifyElementText(findTestObject(""Object Repository/orderPage/modal-title-order""), ""Order Delivery"")",Chrome 93.0.4577.82,,,2021-09-29 13:41:54,2021-09-29 13:41:54,0.326s,PASSED
"setText(findTestObject(""Object Repository/orderPage/form-order/input-name""), name)",Chrome 93.0.4577.82,,,2021-09-29 13:41:54,2021-09-29 13:41:55,0.654s,PASSED
"setText(findTestObject(""Object Repository/orderPage/form-order/input-address""), address)",Chrome 93.0.4577.82,,,2021-09-29 13:41:55,2021-09-29 13:41:57,2.010s,PASSED
"click(findTestObject(""Object Repository/orderPage/form-order/input-phone""))",Chrome 93.0.4577.82,,,2021-09-29 13:41:57,2021-09-29 13:41:58,0.665s,FAILED
Video,Chrome 93.0.4577.82,,,2021-09-29 13:42:00,2021-09-29 13:42:00,0.001s,PASSED
,,,,,,,
Test Cases/Add Data Member,Chrome 93.0.4577.82,,,2021-09-29 13:42:00,2021-09-29 13:42:15,14.883s,ERROR
"openBrowser(""http://116.254.100.222:81/login"")",Chrome 93.0.4577.82,,,2021-09-29 13:42:00,2021-09-29 13:42:02,2.512s,PASSED
name = name,Chrome 93.0.4577.82,,,2021-09-29 13:42:02,2021-09-29 13:42:02,0.001s,PASSED
point = point,Chrome 93.0.4577.82,,,2021-09-29 13:42:02,2021-09-29 13:42:02,0.001s,PASSED
"helper.helper.loginBrowser(""rocky@gmail.com"", ""rocky182"")",Chrome 93.0.4577.82,,,2021-09-29 13:42:02,2021-09-29 13:42:06,3.725s,PASSED
"helper.helper.addDataMember(name, point)",Chrome 93.0.4577.82,,,2021-09-29 13:42:06,2021-09-29 13:42:08,1.936s,PASSED
"helper.helper.checkingExistingData(""Name"", name, ""Poin"", ""99"")",Chrome 93.0.4577.82,,,2021-09-29 13:42:08,2021-09-29 13:42:12,4.423s,FAILED
Video,Chrome 93.0.4577.82,,,2021-09-29 13:42:15,2021-09-29 13:42:15,0.001s,PASSED
,,,,,,,
Test Cases/TC_005_ADD Member 20 times using conditional,Chrome 93.0.4577.82,"if number is even ,name = Susan
if number is odd , name = Jaka
if number % 5 = 0 , point = number * 5
if  number % 3 = 0 , point = number * 3
if number % 4 = 0 , point = number * 4
else 
point = number",,2021-09-29 13:42:15,2021-09-29 13:42:31,16.525s,ERROR
"openBrowser(""http://116.254.100.222:81/login"")",Chrome 93.0.4577.82,,,2021-09-29 13:42:15,2021-09-29 13:42:19,3.894s,PASSED
"helper.helper.loginBrowser(""rocky@gmail.com"", ""rocky182"")",Chrome 93.0.4577.82,,,2021-09-29 13:42:19,2021-09-29 13:42:23,4.039s,PASSED
maxLoop = 20,Chrome 93.0.4577.82,,,2021-09-29 13:42:23,2021-09-29 13:42:23,0.000s,PASSED
"name = """"",Chrome 93.0.4577.82,,,2021-09-29 13:42:23,2021-09-29 13:42:23,0.001s,PASSED
point = 0,Chrome 93.0.4577.82,,,2021-09-29 13:42:23,2021-09-29 13:42:23,0.001s,PASSED
"for ([i = 1, i <= maxLoop, (i++)])",Chrome 93.0.4577.82,,,2021-09-29 13:42:23,2021-09-29 13:42:29,6.239s,FAILED
Video,Chrome 93.0.4577.82,,,2021-09-29 13:42:31,2021-09-29 13:42:31,0.000s,PASSED
,,,,,,,
Test Cases/TC_006_Delete_Data,Chrome 93.0.4577.82,,,2021-09-29 13:42:31,2021-09-29 13:42:37,5.740s,ERROR
memberList = tmpData,Chrome 93.0.4577.82,,,2021-09-29 13:42:31,2021-09-29 13:42:31,0.001s,PASSED
for (def data : memberList),Chrome 93.0.4577.82,,,2021-09-29 13:42:31,2021-09-29 13:42:35,3.524s,FAILED
Video,Chrome 93.0.4577.82,,,2021-09-29 13:42:37,2021-09-29 13:42:37,0.000s,PASSED
,,,,,,,
Test Cases/add data using excel test data,Chrome 93.0.4577.82,,,2021-09-29 13:42:37,2021-09-29 13:43:12,35.571s,PASSED
"openBrowser(""http://116.254.100.222:81/login"")",Chrome 93.0.4577.82,,,2021-09-29 13:42:37,2021-09-29 13:42:40,3.215s,PASSED
"helper.helper.loginBrowser(""rocky@gmail.com"", ""rocky182"")",Chrome 93.0.4577.82,,,2021-09-29 13:42:40,2021-09-29 13:42:44,3.403s,PASSED
"dataExcel = findTestData(""ExcelData"")",Chrome 93.0.4577.82,,,2021-09-29 13:42:44,2021-09-29 13:42:44,0.481s,PASSED
"excelRowNumber = findTestData(""ExcelData"").getRowNumbers()",Chrome 93.0.4577.82,,,2021-09-29 13:42:44,2021-09-29 13:42:44,0.049s,PASSED
"for ([rowCounter = 1, rowCounter < excelRowNumber, (rowCounter++)])",Chrome 93.0.4577.82,,,2021-09-29 13:42:44,2021-09-29 13:43:10,26.164s,PASSED
Video,Chrome 93.0.4577.82,,,2021-09-29 13:43:12,2021-09-29 13:43:12,0.001s,PASSED
