Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario_indocyber,Chrome 94.0.4606.61,,,2021-09-30 14:30:33,2021-09-30 14:31:11,37.830s,FAILED
,,,,,,,
Test Cases/TC_005_ADD Member 20 times using conditional,Chrome 94.0.4606.61,"if number is even ,name = Susan
if number is odd , name = Jaka
if number % 5 = 0 , point = number * 5
if  number % 3 = 0 , point = number * 3
if number % 4 = 0 , point = number * 4
else 
point = number",,2021-09-30 14:30:33,2021-09-30 14:31:10,37.289s,FAILED
"openBrowser(""http://116.254.100.222:81/login"")",Chrome 94.0.4606.61,,,2021-09-30 14:30:33,2021-09-30 14:30:36,2.909s,PASSED
"helper.helper.loginBrowser(""rocky@gmail.com"", ""rocky182"")",Chrome 94.0.4606.61,,,2021-09-30 14:30:36,2021-09-30 14:30:39,2.826s,PASSED
maxLoop = 20,Chrome 94.0.4606.61,,,2021-09-30 14:30:39,2021-09-30 14:30:39,0.001s,PASSED
"name = """"",Chrome 94.0.4606.61,,,2021-09-30 14:30:39,2021-09-30 14:30:39,0.000s,PASSED
point = 0,Chrome 94.0.4606.61,,,2021-09-30 14:30:39,2021-09-30 14:30:39,0.001s,PASSED
"for ([i = 1, i <= maxLoop, (i++)])",Chrome 94.0.4606.61,,,2021-09-30 14:30:39,2021-09-30 14:31:10,31.244s,FAILED
,,,,,,,
Test Cases/TC_006_Delete_Data,Chrome 94.0.4606.61,,,2021-09-30 14:31:10,2021-09-30 14:31:11,0.290s,PASSED
memberList = tmpData,Chrome 94.0.4606.61,,,2021-09-30 14:31:11,2021-09-30 14:31:11,0.087s,PASSED
for (def data : memberList),Chrome 94.0.4606.61,,,2021-09-30 14:31:11,2021-09-30 14:31:11,0.001s,PASSED
tmpData = [],Chrome 94.0.4606.61,,,2021-09-30 14:31:11,2021-09-30 14:31:11,0.000s,PASSED
println(tmpData),Chrome 94.0.4606.61,,,2021-09-30 14:31:11,2021-09-30 14:31:11,0.003s,PASSED
